ID,Modulo,Ambito,Sotto-ambito,Funzionalità,Tag,Scope,details
1,M1,Registro Prodotti e Installed Base,Registro Prodotti,"Catalogo modelli macchina (nome, versione, varianti)",Basic,Basic,"- Creazione, modifica e archiviazione di modelli macchina con nome, versione e varianti
- Ricerca e filtraggio modelli per nome, versione o variante
- Visualizzazione elenco completo modelli nel catalogo
- Esportazione catalogo prodotti in formato strutturato (CSV/JSON)
- Navigazione da lista modelli al dettaglio del singolo modello"
2,M1,Registro Prodotti e Installed Base,Registro Prodotti,Versioning hardware/firmware/software per modello,Must-have,Must-have,"- Aggiunta nuova versione hardware, firmware o software per ogni modello
- Visualizzazione cronologia versioni per modello
- Modifica metadati di versione (numeri, date, note di rilascio)
- Visualizzazione differenze tra versioni (changelog)"
3,M1,Registro Prodotti e Installed Base,Registro Prodotti,"Ciclo di vita prodotto: date intro, fine supporto (EoS), fine vita (EoL)",Must-have,Dubbio,"- Inserimento data di introduzione del prodotto sul mercato
- Impostazione data fine supporto (EoS) e fine vita (EoL)
- Visualizzazione stato ciclo di vita per ogni versione prodotto
- Alert automatico a dashboard quando versione si avvicina a EoS/EoL
- Filtraggio prodotti per stato ciclo di vita"
4,M1,Registro Prodotti e Installed Base,Registro Prodotti,Classificazione CRA del prodotto (default / Classe I / Classe II),Must-have,Must-have,"- Assegnazione classe CRA al prodotto (default / Classe I / Classe II)
- Visualizzazione classificazione CRA nella scheda prodotto
- Filtraggio prodotti per classe CRA
- Modifica classificazione con tracciamento in audit log"
5,M1,Registro Prodotti e Installed Base,Registro Prodotti,Hosting e versioning della CVD policy pubblica,Must-have,Must-have,"- Upload documento CVD policy (PDF o testo strutturato)
- Versioning automatico CVD policy ad ogni aggiornamento
- Generazione URL pubblico e permanente per la policy
- Visualizzazione cronologia versioni CVD policy
- Download versione corrente e storiche"
6,M1,Registro Prodotti e Installed Base,Registro Prodotti,Canale di ricezione segnalazioni vulnerabilità esterne (CVD inbound),Must-have,Must-have,"- Accesso a form pubblico di segnalazione vulnerabilità (security.txt / pagina web)
- Invio segnalazione con: descrizione, prodotto interessato, allegati
- Ricezione conferma di presa in carico con numero ticket
- Visualizzazione interna di tutte le segnalazioni ricevute con stato (nuova/in lavorazione/chiusa)
- Assegnazione owner interno per ogni segnalazione"
7,M1,Registro Prodotti e Installed Base,Registro Prodotti,Gestione sedi/impianti multipli per cliente,Enterprise,Enterprise,"- Creazione e gestione sedi e impianti multipli per ogni cliente
- Associazione prodotti installati a sedi/impianti specifici
- Visualizzazione mappa installazioni per sede
- Modifica e archiviazione sedi non più attive"
9,M1,Registro Prodotti e Installed Base,Registro Clienti e Installed Base,Anagrafica clienti B2B con referenti tecnici e referenti notifica sicurezza,Must-have,Dubbio,"- Creazione e modifica scheda cliente B2B con dati anagrafici completi
- Aggiunta e gestione referenti tecnici (nome, email, telefono)
- Aggiunta e gestione referenti notifica sicurezza
- Flag cliente come entità NIS2 / infrastruttura critica
- Ricerca e filtraggio clienti per nome, settore, classificazione NIS2
- Archiviazione clienti non più attivi"
10,M1,Registro Prodotti e Installed Base,Registro Clienti e Installed Base,Installed base: cliente × prodotto × versione × sede/impianto,Must-have,Must-have,"- Registrazione installazione: cliente × prodotto × versione × sede/impianto
- Visualizzazione matrice installed base (cliente / prodotto / versione)
- Ricerca installazioni per cliente, prodotto, versione o sede
- Modifica e storico aggiornamenti versione installata
- Esportazione installed base in formato strutturato"
11,M1,Registro Prodotti e Installed Base,Registro Clienti e Installed Base,Data installazione e stato contratto di supporto (attivo/scaduto),Enterprise,Dubbio,"- Registrazione data installazione per ogni entry dell'installed base
- Impostazione stato contratto di supporto (attivo / scaduto / non applicabile)
- Alert per contratti di supporto in scadenza
- Filtraggio installed base per stato contratto"
