ID,Modulo,Ambito,Sotto-ambito,Funzionalità,Tag,Scope,Coperto da DT,Motivazione,Stima a finire,Stime economica,Nostre note,In/Out,Scadenza CRA,Fase Roadmap,Note,Stima (gg),Costo stimato (€),Stima,Elapsed 2 FTE (gg lav.),Livello di rischio,Seniority richiesta,Tipo componente,Integrazioni esterne,Prerequisiti principali
1,M1,Registro Prodotti e Installed Base,Registro Prodotti,"Catalogo modelli macchina (nome, versione, varianti)",Basic,Basic,No,DT non gestisce il catalogo prodotti commercializzati; opera solo su progetti SBOM software interni,5,#VALUE!,,out,Sett 2026,0,Fondamento del sistema; nessuna funzione è utilizzabile senza questo,5,€ 2.250,"0,00 €",3,Basso,Junior,Full-stack,,—
2,M1,Registro Prodotti e Installed Base,Registro Prodotti,Versioning hardware/firmware/software per modello,Must-have,Must-have,No,DT non ha il concetto di versione hardware/firmware di macchinario fisico; gestisce solo componenti software,8,#VALUE!,,out,Sett 2026,0,CRA richiede tracciabilità dei componenti nel ciclo di vita del prodotto,8,€ 3.600,"0,00 €",4,Medio,Mid,Backend,,Catalogo modelli
3,M1,Registro Prodotti e Installed Base,Registro Prodotti,"Ciclo di vita prodotto: date intro, fine supporto (EoS), fine vita (EoL)",Must-have,Dubbio,No,DT non traccia ciclo di vita prodotto (EoS/EoL); il registro prodotti è completamente fuori scope di DT,5,#VALUE!,,out,Sett 2026,0,CRA richiede mantenimento SBOM per almeno 10 anni o durata supporto,5,€ 2.250,"0,00 €",3,Basso,Junior/Mid,Full-stack,,Catalogo modelli
4,M1,Registro Prodotti e Installed Base,Registro Prodotti,Classificazione CRA del prodotto (default / Classe I / Classe II),Must-have,Must-have,No,"DT non ha classificazione normativa CRA; non distingue tra prodotti Classe I, Classe II o default",5,#VALUE!,,out,Sett 2026,0,Determina il percorso di conformità e il tipo di documentazione richiesta,5,€ 2.250,"0,00 €",3,Basso,Junior/Mid,Full-stack,,Catalogo modelli
5,M1,Registro Prodotti e Installed Base,Registro Prodotti,Hosting e versioning della CVD policy pubblica,Must-have,Must-have,No,DT non ospita CVD policy; la funzionalità è completamente esterna alla piattaforma,8,#VALUE!,,out,Sett 2026,1,Obbligo CRA: link pubblico alla policy di divulgazione coordinata delle vulnerabilità,8,€ 3.600,"0,00 €",4,Medio,Mid,Full-stack,,Catalogo modelli
6,M1,Registro Prodotti e Installed Base,Registro Prodotti,Canale di ricezione segnalazioni vulnerabilità esterne (CVD inbound),Must-have,Must-have,No,DT non gestisce canali di ricezione segnalazioni da ricercatori esterni; sviluppo completamente custom,10,#VALUE!,Serve? Da chi: fornitori o clienti?,out,Sett 2026,1,Obbligo CRA: i ricercatori devono poter segnalare vulnerabilità al fabbricante,10,€ 4.500,"0,00 €",5,Medio,Mid/Senior,Full-stack,Email/Form pubblico,Hosting CVD policy
7,M1,Registro Prodotti e Installed Base,Registro Prodotti,Gestione sedi/impianti multipli per cliente,Enterprise,Enterprise,No,DT non ha il concetto di sedi o impianti multipli per cliente; non applicabile,8,#VALUE!,,out,N/A,2,Rilevante per grandi clienti come Autostrade con molti siti geografici,8,€ 3.600,"0,00 €",4,Basso,Junior/Mid,Full-stack,,Anagrafica clienti
8,M1,Registro Prodotti e Installed Base,Registro Prodotti,Import prodotti da sistemi PLM/ERP tramite API,Nice-to-have,Nice-to-have,No,DT non si integra con sistemi PLM/ERP; sviluppo completamente custom,15,#VALUE!,,out,N/A,2,Utile per onboarding iniziale; non critico per compliance,15,€ 6.750,"0,00 €",8,Medio,Mid/Senior,Integration,"PLM/ERP API (Teamcenter, SAP)",Catalogo modelli
9,M1,Registro Prodotti e Installed Base,Registro Clienti e Installed Base,Anagrafica clienti B2B con referenti tecnici e referenti notifica sicurezza,Must-have,Dubbio,No,DT non gestisce anagrafica clienti B2B né referenti tecnici/sicurezza; fuori scope,8,#VALUE!,Per ora comunicazioni manuali,out,Sett 2026,0,Senza questo il processo di notifica ai clienti è operativamente impossibile,8,€ 3.600,#VALUE!,4,Basso,Junior/Mid,Full-stack,,—
10,M1,Registro Prodotti e Installed Base,Registro Clienti e Installed Base,Installed base: cliente × prodotto × versione × sede/impianto,Must-have,Must-have,No,DT non ha installed base: il legame cliente × prodotto × versione × sede è completamente assente,12,#VALUE!,,In,Sett 2026,0,Prerequisito per l'impact analysis; senza questo non si sa chi avvertire,12,€ 5.400,"2.155,00 €",6,Medio,Mid,Full-stack,,Catalogo modelli; Anagrafica clienti
11,M1,Registro Prodotti e Installed Base,Registro Clienti e Installed Base,Data installazione e stato contratto di supporto (attivo/scaduto),Enterprise,Dubbio,No,DT non gestisce contratti di supporto né date di installazione in campo,5,#VALUE!,Politiche commerciali,In,N/A,2,Utile per prioritizzazione e per tracciare chi ha diritto agli aggiornamenti,5,€ 2.250,"3.448,00 €",3,Basso,Junior,Full-stack,,Installed base
12,M1,Registro Prodotti e Installed Base,Registro Clienti e Installed Base,Storico completo delle comunicazioni per cliente,Enterprise,Dubbio,No,DT non ha storico comunicazioni per cliente; sviluppo completamente custom,8,#VALUE!,,out,N/A,2,Prova di avvenuta notifica; utilità operativa nella gestione post-vendita,8,€ 3.600,"2.155,00 €",4,Basso,Junior/Mid,Backend,,Anagrafica clienti; M5 Notifica clienti
13,M1,Registro Prodotti e Installed Base,Registro Clienti e Installed Base,"Canali di notifica per cliente (email, referente tecnico, referente sicurezza)",Must-have,Dubbio,No,DT non gestisce canali di notifica differenziati per cliente,5,#VALUE!,Semplificato: chiediamo di indicare solo se già segnalato o meno e indicare la data della segnalazione: fanno tutto loro.,In,Sett 2026,0,Necessario per il workflow di notifica differenziato per tipo di comunicazione,5,€ 2.250,"2.155,00 €",3,Basso,Junior,Full-stack,,Anagrafica clienti
14,M1,Registro Prodotti e Installed Base,Registro Clienti e Installed Base,Import installed base da ERP/CRM via API,Nice-to-have,Nice-to-have,No,DT non si integra con CRM/ERP per l'import dell'installed base,15,#VALUE!,,In,N/A,2,Utile per onboarding ma non critico per compliance,15,€ 6.750,"3.448,00 €",8,Medio,Mid/Senior,Integration,"ERP/CRM API (SAP, Salesforce)",Installed base
