ID,Modulo,Ambito,Sotto-ambito,Funzionalità,Tag,Scope
1,M1,Registro Prodotti e Installed Base,Registro Prodotti,"Catalogo modelli macchina (nome, versione, varianti)",Basic,Basic
2,M1,Registro Prodotti e Installed Base,Registro Prodotti,Versioning hardware/firmware/software per modello,Must-have,Must-have
3,M1,Registro Prodotti e Installed Base,Registro Prodotti,"Ciclo di vita prodotto: date intro, fine supporto (EoS), fine vita (EoL)",Must-have,Dubbio
4,M1,Registro Prodotti e Installed Base,Registro Prodotti,Classificazione CRA del prodotto (default / Classe I / Classe II),Must-have,Must-have
5,M1,Registro Prodotti e Installed Base,Registro Prodotti,Hosting e versioning della CVD policy pubblica,Must-have,Must-have
6,M1,Registro Prodotti e Installed Base,Registro Prodotti,Canale di ricezione segnalazioni vulnerabilità esterne (CVD inbound),Must-have,Must-have
7,M1,Registro Prodotti e Installed Base,Registro Prodotti,Gestione sedi/impianti multipli per cliente,Enterprise,Enterprise
9,M1,Registro Prodotti e Installed Base,Registro Clienti e Installed Base,Anagrafica clienti B2B con referenti tecnici e referenti notifica sicurezza,Must-have,Dubbio
10,M1,Registro Prodotti e Installed Base,Registro Clienti e Installed Base,Installed base: cliente × prodotto × versione × sede/impianto,Must-have,Must-have
11,M1,Registro Prodotti e Installed Base,Registro Clienti e Installed Base,Data installazione e stato contratto di supporto (attivo/scaduto),Enterprise,Dubbio
12,M1,Registro Prodotti e Installed Base,Registro Clienti e Installed Base,Storico completo delle comunicazioni per cliente,Enterprise,Dubbio
13,M1,Registro Prodotti e Installed Base,Registro Clienti e Installed Base,"Canali di notifica per cliente (email, referente tecnico, referente sicurezza)",Must-have,Dubbio
15,M2,Gestione SBOM,Acquisizione SBOM,Import SBOM da file CycloneDX (formato primario),Basic,Basic
16,M2,Gestione SBOM,Acquisizione SBOM,Inserimento manuale componenti con form strutturato,Basic,Basic
17,M2,Gestione SBOM,Acquisizione SBOM,Modalità ibrida: import scanner + delta manuale (ogni modifica tracciata come delta separato),Basic,Basic
